timestamp,p10,p50,p90
2026-09-09T00:00:00Z,16.25,23.25,32.7
2026-09-09T00:15:00Z,16.8,23.8,33.25
2026-09-09T00:30:00Z,16.94,23.94,33.39
2026-09-09T00:45:00Z,16.48,23.48,32.93
2026-09-09T01:00:00Z,15.33,22.33,31.78
2026-09-09T01:15:00Z,13.53,20.53,29.98
2026-09-09T01:30:00Z,11.29,18.29,27.74
2026-09-09T01:45:00Z,8.89,15.89,25.34
2026-09-09T02:00:00Z,6.67,13.67,23.12
2026-09-09T02:15:00Z,4.96,11.96,21.41
2026-09-09T02:30:00Z,3.97,10.97,20.43
2026-09-09T02:45:00Z,3.82,10.82,20.28
2026-09-09T03:00:00Z,4.44,11.45,20.91
2026-09-09T03:15:00Z,5.65,12.67,22.15
2026-09-09T03:30:00Z,7.2,14.23,23.72
2026-09-09T03:45:00Z,8.79,15.85,25.37
2026-09-09T04:00:00Z,10.19,17.28,26.86
2026-09-09T04:15:00Z,11.27,18.42,28.07
2026-09-09T04:30:00Z,12.03,19.26,29.03
2026-09-09T04:45:00Z,12.61,19.96,29.89
2026-09-09T05:00:00Z,13.23,20.75,30.91
2026-09-09T05:15:00Z,14.16,21.92,32.39
2026-09-09T05:30:00Z,15.66,23.71,34.57
2026-09-09T05:45:00Z,17.88,26.29,37.64
2026-09-09T06:00:00Z,20.86,29.7,41.63
2026-09-09T06:15:00Z,24.48,33.8,46.39
2026-09-09T06:30:00Z,28.49,38.34,51.63
2026-09-09T06:45:00Z,32.54,42.92,56.94
2026-09-09T07:00:00Z,36.23,47.12,61.83
2026-09-09T07:15:00Z,39.17,50.52,65.83
2026-09-09T07:30:00Z,41.09,52.79,68.58
2026-09-09T07:45:00Z,41.84,53.76,69.86
2026-09-09T08:00:00Z,41.42,53.42,69.62
2026-09-09T08:15:00Z,40.01,51.93,68.03
2026-09-09T08:30:00Z,37.89,49.59,65.38
2026-09-09T08:45:00Z,35.4,46.74,62.06
2026-09-09T09:00:00Z,32.83,43.72,58.43
2026-09-09T09:15:00Z,30.4,40.79,54.8
2026-09-09T09:30:00Z,28.22,38.07,51.37
2026-09-09T09:45:00Z,26.28,35.61,48.2
2026-09-09T10:00:00Z,24.5,33.34,45.28
2026-09-09T10:15:00Z,22.79,31.2,42.55
2026-09-09T10:30:00Z,21.08,29.12,39.99
2026-09-09T10:45:00Z,19.38,27.13,37.6
2026-09-09T11:00:00Z,17.79,25.31,35.48
2026-09-09T11:15:00Z,16.45,23.8,33.73
2026-09-09T11:30:00Z,15.51,22.74,32.51
2026-09-09T11:45:00Z,15.09,22.23,31.89
2026-09-09T12:00:00Z,15.22,22.31,31.88
2026-09-09T12:15:00Z,15.82,22.88,32.4
2026-09-09T12:30:00Z,16.73,23.76,33.26
2026-09-09T12:45:00Z,17.71,24.73,34.2
2026-09-09T13:00:00Z,18.52,25.53,34.99
2026-09-09T13:15:00Z,18.96,25.96,35.42
2026-09-09T13:30:00Z,18.91,25.91,35.37
2026-09-09T13:45:00Z,18.4,25.4,34.85
2026-09-09T14:00:00Z,17.54,24.54,33.99
2026-09-09T14:15:00Z,16.55,23.56,33.01
2026-09-09T14:30:00Z,15.68,22.68,32.14
2026-09-09T14:45:00Z,15.14,22.16,31.64
2026-09-09T15:00:00Z,15.09,22.16,31.7
2026-09-09T15:15:00Z,15.61,22.81,32.54
2026-09-09T15:30:00Z,16.73,24.27,34.45
2026-09-09T15:45:00Z,18.49,26.82,38.06
2026-09-09T16:00:00Z,21.07,31.03,44.48
2026-09-09T16:15:00Z,24.79,37.81,55.39
2026-09-09T16:30:00Z,30.13,48.26,72.73
2026-09-09T16:45:00Z,37.46,63.18,97.89
2026-09-09T17:00:00Z,46.7,82.33,130.45
2026-09-09T17:15:00Z,56.98,103.85,167.12
2026-09-09T17:30:00Z,66.64,124.13,201.75
2026-09-09T17:45:00Z,73.57,138.75,226.75
2026-09-09T18:00:00Z,76.02,144.02,235.82
2026-09-09T18:15:00Z,73.32,138.51,226.5
2026-09-09T18:30:00Z,66.21,123.7,201.32
2026-09-09T18:45:00Z,56.47,103.34,166.61
2026-09-09T19:00:00Z,46.23,81.87,129.98
2026-09-09T19:15:00Z,37.15,62.87,97.59
2026-09-09T19:30:00Z,30.06,48.19,72.66
2026-09-09T19:45:00Z,24.97,37.99,55.57
2026-09-09T20:00:00Z,21.45,31.42,44.87
2026-09-09T20:15:00Z,19.0,27.32,38.56
2026-09-09T20:30:00Z,17.22,24.76,34.94
2026-09-09T20:45:00Z,15.98,23.18,32.9
2026-09-09T21:00:00Z,15.23,22.3,31.84
2026-09-09T21:15:00Z,15.03,22.05,31.53
2026-09-09T21:30:00Z,15.34,22.35,31.81
2026-09-09T21:45:00Z,16.07,23.08,32.53
2026-09-09T22:00:00Z,17.04,24.04,33.49
2026-09-09T22:15:00Z,17.99,24.99,34.44
2026-09-09T22:30:00Z,18.7,25.7,35.15
2026-09-09T22:45:00Z,19.0,26.0,35.45
2026-09-09T23:00:00Z,18.8,25.8,35.25
2026-09-09T23:15:00Z,18.17,25.17,34.62
2026-09-09T23:30:00Z,17.25,24.25,33.7
2026-09-09T23:45:00Z,16.27,23.27,32.72
